,hotel_address,additional_number_of_scoring,review_date,average_score,hotel_name,total_number_of_reviews,reviewer_score,lat,lng
418301,Prinses Irenestraat 30 Zuideramstel 1077 WX Amsterdam Netherlands,726,7/18/2017,8.6,citizenM Amsterdam,4530,7.9,52.3419432,4.8759604
419095,Prinsengracht 444 Amsterdam City Center 1017 KE Amsterdam Netherlands,278,7/31/2017,8.4,Dikker en Thijs Fenice Hotel,1971,5.8,52.364971000000004,4.883982700000001
419641,Prinsengracht 587 Amsterdam City Center 1067 HT Amsterdam Netherlands,145,6/24/2017,9.3,Andaz Amsterdam Prinsengracht A Hyatt Hotel,851,9.2,52.3678368,4.8830788
419859,Prinsengracht 717 Amsterdam City Center 1017 JW Amsterdam Netherlands,18,4/6/2017,8.8,Hotel Seven One Seven,61,10.0,52.36480770000001,4.8853962
419884,Provenza 195 Eixample 08008 Barcelona Spain,34,6/18/2017,8.7,Hotel America Barcelona,310,10.0,41.3919083,2.1573318
419989,Provincialeweg 38 Zuidoost 1108 AB Amsterdam Netherlands,245,5/8/2017,7.5,Golden Tulip Amsterdam Riverside,2362,6.3,52.3154533,4.996299700000001
421045,Professor Tulpplein 1 Amsterdam City Center 1018 GX Amsterdam Netherlands,29,6/15/2017,9.0,InterContinental Amstel Amsterdam,151,9.6,52.360006799999994,4.9051643
421803,Putget 68 Sarri St Gervasi 08023 Barcelona Spain,258,8/3/2017,7.4,Catalonia Park Putxet,3590,8.3,41.4072812,2.1443116
422334,Rambla Catalunya 26 Eixample 08007 Barcelona Spain,112,7/15/2017,8.8,NH Collection Barcelona Gran Hotel Calder n,1072,10.0,41.3894654,2.1662651000000004
422984,Rambla del Raval 17 21 Ciutat Vella 08001 Barcelona Spain,256,7/14/2016,8.4,Barcel Raval,2254,6.3,41.379012599999996,2.1696339
423005,Ramblas 111 Ciutat Vella 08002 Barcelona Spain,85,10/5/2016,8.2,Le M ridien Barcelona,451,4.6,41.3837453,2.171014
424317,Rathausstra e 17 01 Innere Stadt 1010 Vienna Austria,195,5/16/2016,8.5,Austria Trend Hotel Rathauspark Wien,1884,8.8,48.2133054,16.3567884
424726,Rathstra e 24 Neustift am Walde 19 D bling 1190 Vienna Austria,37,7/26/2017,9.0,Hotel Landhaus Fuhrgassl Huber,719,7.5,48.2508693,16.304957
424797,Ratschkygasse 32 12 Meidling 1120 Vienna Austria,26,8/1/2017,7.9,Hotel Parco di Sch nbrunn Vienna,576,5.8,48.177623600000004,16.324358800000002
424801,Rec Comtal 16 18 Ciutat Vella 08003 Barcelona Spain,211,10/18/2016,8.8,Catalonia Born,2094,8.3,41.389691600000006,2.1798661
425295,Rembrandtplein 19 Amsterdam City Center 1017 CT Amsterdam Netherlands,137,8/3/2017,7.9,NH Amsterdam Caransa,966,6.7,52.3664077,4.896909099999999
425353,Rembrandtplein 26 36 Amsterdam City Center 1017 CV Amsterdam Netherlands,224,4/27/2016,7.7,NH Amsterdam Schiller,1667,8.3,52.3657092,4.8966912
425893,Rembrandtplein 44 Amsterdam City Center 1017 CV Amsterdam Netherlands,76,3/14/2017,7.4,Royal Amsterdam Hotel,627,7.9,52.3657281,4.8972883000000005
426198,Rennweg 12 03 Landstra e 1030 Vienna Austria,60,11/20/2016,8.4,Lindner Hotel Am Belvedere,790,8.3,48.1955998,16.3826989
426282,Rennweg 12a 03 Landstra e 1030 Vienna Austria,105,8/1/2017,8.4,NH Wien Belvedere,1191,7.9,48.1954348,16.383429
427531,Richmond Way Hammersmith and Fulham London W14 0AX United Kingdom,509,7/6/2017,8.4,K West Hotel Spa,1560,6.3,51.5013149,-0.21744589999999997
428095,Riemergasse 8 01 Innere Stadt 1010 Vienna Austria,94,1/30/2016,9.2,Appartement Hotel an der Riemergasse,969,8.8,48.2071576,16.3765913
428518,Rilke Platz 7 04 Wieden 1040 Vienna Austria,66,7/30/2017,9.0,Saint SHERMIN bed breakfast champagne,651,10.0,48.197840899999996,16.367086999999998
428682,Riudarenes 7 Ciutat Vella 08002 Barcelona Spain,43,8/2/2017,9.4,The Wittmore Adults Only,217,10.0,41.380939,2.1796095
428767,Robert Stolz Platz 1 01 Innere Stadt 1010 Vienna Austria,299,8/3/2017,8.3,Le Meridien Vienna,2393,9.6,48.202729600000005,16.3661211
429427,Roemer Visscherstraat 8 10 Oud West 1054 EV Amsterdam Netherlands,119,7/30/2017,8.3,Hotel Roemer Amsterdam,974,5.4,52.361757700000005,4.8780052000000005
429510,Roger de Ll ria 17 Eixample 08010 Barcelona Spain,127,8/9/2016,8.9,Hotel mbit Barcelona,1498,10.0,41.3907821,2.1717426
430011,Roger de Ll ria 60 Eixample 08009 Barcelona Spain,237,8/1/2017,8.3,Catalonia Eixample 1864,2372,9.6,41.393599,2.1684151000000003
430439,Roger de Lluria 16 18 Eixample 08010 Barcelona Spain,229,8/2/2017,8.9,Negresco Princess 4 Sup,2369,10.0,41.390516600000005,2.1725642999999994
430600,Roger De Lluria 21 Esq Gran Via 662 Eixample 08037 Barcelona Spain,90,12/29/2015,7.9,Petit Palace Barcelona,1148,7.1,41.390981599999996,2.1714938
431246,Ronda Sant Pau 14 Ciutat Vella 08001 Barcelona Spain,56,7/24/2017,7.6,Hotel Garbi Millenni,549,5.0,41.375989600000004,2.167148
431326,Ronda Sant Pere 32 Eixample 08010 Barcelona Spain,92,7/16/2017,8.9,Vincci Gala,913,9.6,41.3895263,2.1747136
431929,Ronda Universitat 21 Eixample 08007 Barcelona Spain,137,7/30/2017,8.5,H10 Universitat,1403,8.3,41.386956500000004,2.1665338
432890,Rossell 249 Eixample 08008 Barcelona Spain,115,7/30/2017,9.1,Gallery Hotel,953,9.6,41.394924200000005,2.1593099
433254,Rossell 390 Eixample 08025 Barcelona Spain,215,7/31/2017,8.7,Ayre Hotel Rosell n,2359,8.3,41.404738200000004,2.1727127
433773,Rossello 191 Eixample 08036 Barcelona Spain,37,7/8/2017,8.2,Evenia Rossello,690,8.8,41.392025399999994,2.1554675
434109,Rotenturmstra e 15 01 Innere Stadt 1010 Vienna Austria,78,8/2/2017,8.7,Hotel Lam e,866,9.2,48.2102677,16.3741269
434280,Royal Victoria Dock Western Gateway Newham London E16 1AL United Kingdom,879,8/3/2017,8.8,Crowne Plaza London Docklands,2768,7.1,51.5083537,0.0198855
434711,Rudolfsplatz 11 01 Innere Stadt 1010 Vienna Austria,120,7/16/2017,8.6,K K Palais Hotel,992,8.8,48.213809600000005,16.3714293
435502,Rusland 17 Amsterdam City Center 1012 CK Amsterdam Netherlands,827,6/23/2017,8.6,Radisson Blu Hotel Amsterdam,4593,10.0,52.3702469,4.8966743
435692,Sancho de vila 32 34 Sant Mart 08018 Barcelona Spain,289,6/11/2017,8.8,Capri by Fraser Barcelona,2988,9.2,41.39762329999999,2.188975
437543,San Sever 5 Ciutat Vella 08002 Barcelona Spain,42,7/27/2017,9.2,Hotel Neri,177,9.6,41.383249799999994,2.1753482999999996
437793,Sant Pau 9 11 Ciutat Vella 08001 Barcelona Spain,293,7/2/2017,8.7,Hotel Espa a Ramblas,1908,7.9,41.379920899999995,2.1728181
438768,Santal 8 Sarri St Gervasi 08021 Barcelona Spain,56,1/24/2016,8.1,Zenit Barcelona,645,7.9,41.3949199,2.1468594
438805,Santa Rosa Esplugues 33 08950 Barcelona Spain,72,8/3/2017,7.9,Abba Garden,959,9.6,41.3854716,2.1018835
439008,Sarphatistraat 104 Amsterdam City Center 1018 GV Amsterdam Netherlands,61,7/30/2017,8.8,Hyatt Regency Amsterdam,293,8.8,52.361775099999996,4.9118187
